Cocktail,,,,,,,
Vodka,,,,,Glass,,tax included
  レッド・プル・ヲッカ,,,Redbull vodka,,"¥1,000",,"¥1,100"
  ブラックルシアン,,,Black Russian,,¥800,,¥880
  ブラッジ メアリー ,,,Bloody Mary,,¥800,,¥880
  モスコミュール,,,Moscow Mule,,¥800,,¥880
  ピンクレモネード,,,Pink Lemonade,,¥800,,¥880
  ソルティードッグ,,,Salty Dog,,¥800,,¥880
  セックスオンザピーチ,,,Sex on the Beach,,¥800,,¥880
  スクリュードライバー,,,Screw Driver,,¥800,,¥880
Gin,,,,,,,
  マティーニ,,,Martini,,¥800,,¥880
  ギムレット,,,Gimlet,,¥800,,¥880
  ジンリッキー,,,Gin Ricky,,¥800,,¥880
  ジンバック,,,Gin Buck,,¥800,,¥880
  オレンジフィズ,,,Orange Fizz,,¥800,,¥880
  ジントニック,,,Gin Tonic,,¥800,,¥880
Tequila,,,,,,,
  マルガリータ,,,Margarita,,¥800,,¥880
  メキシコーラ,,,Mexicola,,¥800,,¥880
  テキーラサンライズ,,,Tequila Sunrise,,¥800,,¥880
Rum,,,,,,,
  ダイキリ,,,Daiquiri,,¥800,,¥880
  ロングアイランドアイスティ,,,Long Island Iced Tea,,"¥1,000",,"¥1,100"
  XYZ,,,XYZ,,¥800,,¥880
  ピナコラーダ,,,Pina Colada,,¥800,,¥880
Campari,,,,,,,
  カンパリオレンジ,,,Campari Orange,,¥800,,¥880
  スプモーニ,,,Spumoni,,¥800,,¥880
Liqueur,,,,,,,
  ファジーネーブル,,,Fuzzy Navel,,¥800,,¥880
  メロンボール,,,Melon Ball,,¥800,,¥880
  ディタチャイナブルー,,,Dita China Blue,,¥800,,¥880
  バナナクーラー,,,Banana Cooler,,¥800,,¥880
  マリブジャングルジュース,,,Malibu Jungle Juice,,¥800,,¥880
Wine,,,,,,,
  キール,,,Kir,,¥800,,¥880
  サングリア,,,Sangria,,¥800,,¥880
  レッドワインクーラー,,,Red Wine Cooler,,¥800,,¥880
  キティ,,,Kitty,,¥800,,¥880
Beer,,,,,,,
  レッドアイ,,,Red Eye,,¥800,,¥880
  シャンディガフ,,,Shandy Gaff,,¥800,,¥880
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
※現金の場合は内税とさせていただいてます。,,,,,,,
Shochu Base,,,,,,,
,,,,,Glass,,tax included
ウーロンハイ,,,Oolong Hi,,¥800,,¥880
緑茶ハイ,,,Oocha Hi,,¥800,,¥880
レモンサワー,,,Shochu & Lemon Soda ,,¥800,,¥880
ジャスミンハイ,,,Jasmine Hi,,¥800,,¥880
,,,,,,,
,,,,,,,
Shot,,,,,,,
Cocalero,,,,,Glass,,　
  コカレロ,,,Cocalero,,¥800,,¥880
  コカボム,,,Cocalero Bomb,,"¥1,000",,"¥1,100"
Jagermeister,,,,,,,
  イエガー,,,Jager,,¥800,,¥880
  ジャガー・ボム,,,Jaga Bomb,,"¥1,000",,"¥1,100"
Vodka,,,,,,,
  アブソルート・ボドカー,,,Absolute Vodka,,¥800,,¥880
Tequila,,,,,,,
  クエルボ ゴールド,,,Cuervo Gold,,¥800,,¥880
  テキーラ ローズ,,,Tequila Rose ,,"¥1,000",,"¥1,100"
 １８００,,,１８００,,"¥1,200",,"¥1,320"
Other,,,,,,,
  B52,,,B52,,"¥1,000",,"¥1,100"
  ショトガン,,,Shotgun,,¥800,,¥880
,,,,,,,
,,,,,,,
Beer & Bottle Drink,,,,,,,
Beer,,,,Mug,Glass,,
  アサヒスーパードライ ,,,Asahi super dry ,¥800,¥600,,¥880
Bottle Drink,,,,,,,
  ハイネケン,,,Heineken,,¥800,,¥880
  ギネス,,,Guinness,,¥800,,¥880
  コロナ,,,Corona,,¥800,,¥880
  スミノフアイス,,,Smirnoff Ice,,¥800,,¥880
  スカイブルー,,,Sky Blue,,¥800,,¥880
,,,,,,,
,,,,,,,
Whisky ,,,,,,,
Whiskey,,,,Bottle,Glass,,
  角,,,Kaku,,¥800,,¥880
  山崎,,,Yamazaki,,"¥1,200",,"¥1,320"
  ジャック　ハニー,,,Jack Daniels Honey,,¥800,,¥880
  ジャック・ダニエルズ,,,Jack Daniels,"¥11,000",¥800,,¥12100/¥880
  ワイルドターキー,,,Wild Turkey,"¥13,000",¥900,,¥14300/¥990
  シーバスリーガル,,,Chivas Regal,"¥12,000",¥900,,¥13200/¥990
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
※現金の場合は内税とさせていただいてます。,,,,,,,
Brandy,,,,,,,
Brandy,,,,Bottle,Glass,,tax included
  レミイ,,,Remy,"¥16,000","¥1,000",,¥17600/¥1100
  ヘネシー,,,Hennessy,"¥14,000","¥1,000",,¥15400/¥1100
,,,,,,,
,,,,,,,
,,,,,,,
Wine & Champagne,,,,,,,
Wine,,,,Bottle,Glass,,
  赤ワイン,,,Red wine ,"¥4,000",¥800,,¥880
  白ワイン,,,White wine ,"¥4,000",¥800,,¥880
Champagne,,,,,,,
  本日のシャンパン,,,Daily Champagne,"¥5,000",,,"¥5,500"
  マルティーニアスティー,,,Martini Asti ,"¥6,000",,,"¥6,600"
  フレシネ プロセッコ DOC,,,Freixenet Prosecco DOC,"¥10,000",,,"¥11,000"
,,,,,,,
  モエ,,,Moët & Chandon,"¥21,000",,,"¥23,100"
,,,,,,,
,,,,,,,
Soft Drink,,,,,,,
,,,,,Glass,,
水,,,Water,,¥500,,¥550
コカコーラ,,,Coca Cola,,¥500,,¥550
ジンジャーエール,,,Ginger Ale,,¥500,,¥550
オレンジジュース,,,Orange Juice,,¥500,,¥550
パイナップルジュース,,,Pineapple Juice,,¥500,,¥550
グレープフルーツジュース,,,Grapefruit Juice,,¥500,,¥550
トマトジュース,,,Tomato Juice,,¥500,,¥550
クランベリージュース,,,Cranberry Juice,,¥500,,¥550
レッドブル,,,Red Bull,,¥800,,¥880
,,,,,,,
,,,,,,,
Food,,,,,,,
,,,,,,,
フライドチキン,,,Fried chicken,,¥800,,¥880
フライドポテト,,,Fried potatoes,,¥800,,¥880
ビーフジャーキー,,,Beef Jerky,,"¥1,000",,"¥1,100"
ミックスナッツ,,,Mixed Nuts,,¥500,,¥550
ポッキーチョコレート,,,Pocky Choco Sticks,,¥500,,¥550
ポップコーン,,,Pop Corn,,¥500,,¥550
ポテトチップス,,,Potato Crisps,,¥500,,¥550
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
※現金の場合は内税とさせていただいてます。,,,,,,,